Experiment,Model,Mean Error (px),Std Error (px),95% CI Low,95% CI High,N Samples
mixin_test44,SpatioTemporalCNN,0.0010915384034395265,0.0010862964452343212,0.000753024600883825,0.001430052205995228,42
mixin_test44,SimpleUNet,0.00030812127085099323,0.0002861583257798426,0.00021894805904708954,0.0003972944826548969,42
mixin_test44,GMM,180.31222920256963,0.0,180.31222920256963,180.31222920256963,14
mixin_test44,LastFrame,0.0,0.0,0.0,0.0,14
mixin_test57,SpatioTemporalCNN,4.947150385155539,3.0452875688228924,4.495412645347655,5.398888124963423,177
mixin_test57,SimpleUNet,1.1057450751943885,0.5182282683432008,1.0288711309920022,1.1826190193967747,177
mixin_test57,GMM,17.875281125527287,3.222228913349871,17.0355636972308,18.714998553823776,59
mixin_test57,LastFrame,9.044931821338295,0.5376990957752067,8.904806673794912,9.185056968881678,59
mixin_test64,SpatioTemporalCNN,0.3723937511697774,0.18603665455540042,0.33274396025852654,0.4120435420810283,87
mixin_test64,SimpleUNet,0.16984744849148264,0.16127482411815214,0.13547511971135373,0.20421977727161156,87
mixin_test64,GMM,5.016818852666689,2.059275430854962,4.233512370774384,5.800125334558994,29
mixin_test64,LastFrame,1.3039842349884723,0.12891451746886937,1.254947775061662,1.3530206949152825,29
